Fecha,Precioendolares,Precioeneuros,Evento
01/12/2000,$25.66,$28.60,
01/11/2000,$32.55,$38.01,
01/10/2000,$30.96,$36.20,
01/09/2000,$33.14,$38.00,
01/08/2000,$30.20,$33.40,
01/07/2000,$28.68,$30.52,
01/06/2000,$29.80,$31.39,
01/05/2000,$27.74,$30.62,
01/04/2000,$22.76,$24.03,
01/03/2000,$27.49,$28.51,
01/02/2000,$27.78,$28.25,
01/01/2000,$25.51,$25.17,
01/12/2001,$18.71,$20.97,
01/11/2001,$18.80,$21.16,
01/10/2001,$20.54,$22.67,
01/09/2001,$25.62,$28.12,
01/08/2001,$25.68,$28.52,
01/07/2001,$24.61,$28.59,
01/06/2001,$27.85,$32.64,
01/05/2001,$28.31,$32.38,
01/04/2001,$25.66,$28.77,
01/03/2001,$24.50,$26.94,
01/02/2001,$27.50,$29.84,
01/01/2001,$25.62,$27.30,
01/12/2002,$28.33,$27.82,
01/11/2002,$24.34,$24.31,
01/10/2002,$27.54,$28.07,
01/09/2002,$28.40,$28.96,
01/08/2002,$26.65,$27.26,
01/07/2002,$25.74,$25.94,
01/06/2002,$24.08,$25.20,
01/05/2002,$25.35,$27.64,
01/04/2002,$25.73,$29.05,
01/03/2002,$23.70,$27.06,
01/02/2002,$20.28,$23.31,
01/01/2002,$19.42,$21.99,
01/12/2003,$29.81,$24.26,
01/11/2003,$28.75,$24.57,
01/10/2003,$29.61,$25.33,
01/09/2003,$27.11,$24.16,
01/08/2003,$29.89,$26.83,
01/07/2003,$28.35,$24.93,
01/06/2003,$27.65,$23.71,
01/05/2003,$25.86,$22.33,
01/04/2003,$25.00,$23.05,
01/03/2003,$30.61,$28.32,
01/02/2003,$32.77,$30.42,
01/01/2003,$31.18,$29.35,
01/12/2004,$39.60,$29.53,
01/11/2004,$43.11,$33.18,
01/10/2004,$49.78,$39.86,
01/09/2004,$43.20,$35.36,
01/08/2004,$42.74,$35.10,
01/07/2004,$38.22,$31.16,
01/06/2004,$35.18,$28.98,
01/05/2004,$37.57,$31.29,
01/04/2004,$33.59,$28.03,
01/03/2004,$33.63,$27.43,
01/02/2004,$30.86,$24.40,
01/01/2004,$31.28,$24.80,
01/12/2005,$56.86,$47.96,
01/11/2005,$55.24,$46.87,
01/10/2005,$58.54,$48.72,
01/09/2005,$62.91,$51.33,
01/08/2005,$63.98,$52.05,
01/07/2005,$57.52,$47.79,
01/06/2005,$54.35,$44.68,
01/05/2005,$48.65,$38.33,
01/04/2005,$51.88,$40.10,
01/03/2005,$53.10,$40.22,
01/02/2005,$45.48,$34.95,
01/01/2005,$44.51,$33.93,
01/12/2006,$62.47,$47.28,
01/11/2006,$58.76,$45.62,
01/10/2006,$57.81,$45.84,
01/09/2006,$61.96,$48.68,
01/08/2006,$73.23,$57.16,
01/07/2006,$73.67,$58.08,
01/06/2006,$68.56,$54.20,
01/05/2006,$69.78,$54.64,
01/04/2006,$70.26,$57.26,
01/03/2006,$62.06,$51.63,
01/02/2006,$60.21,$50.44,
01/01/2006,$62.99,$52.04,
01/12/2007,$90.93,$62.41,
01/11/2007,$92.41,$62.93,
01/10/2007,$82.34,$57.88,
01/09/2007,$77.17,$55.53,
01/08/2007,$70.76,$51.95,
01/07/2007,$76.93,$56.09,
01/06/2007,$71.05,$52.95,
01/05/2007,$67.21,$49.74,
01/04/2007,$67.49,$49.93,
01/03/2007,$62.05,$46.86,
01/02/2007,$57.56,$44.03,
01/01/2007,$53.68,$41.30,
01/12/2008,$39.95,$29.70,
01/11/2008,$52.45,$41.20,
01/10/2008,$71.58,$53.73,
01/09/2008,$97.23,$67.66,
01/08/2008,$113.24,$75.62,
01/07/2008,$132.72,$84.16,
01/06/2008,$132.32,$85.08,Terremoto de 7.8 grados en China 
01/05/2008,$122.80,$78.94,
01/04/2008,$109.07,$69.25,
01/03/2008,$103.64,$66.75,
01/02/2008,$94.99,$64.41,
01/01/2008,$92.18,$62.63,
01/11/2009,$76.66,$51.40,
01/10/2009,$72.77,$49.12,
01/09/2009,$67.65,$46.46,
01/08/2009,$72.51,$50.82,
01/07/2009,$64.44,$45.74,
01/06/2009,$68.61,$48.95,
01/05/2009,$57.30,$41.98,
01/04/2009,$50.18,$38.04,
01/03/2009,$46.54,$35.66,
01/02/2009,$43.32,$33.88,
01/01/2009,$43.44,$32.81,
01/12/2010,$91.45,$69.18,
01/11/2010,$85.28,$62.43,
01/10/2010,$82.67,$59.48,
01/09/2010,$77.84,$59.57,
01/08/2010,$77.04,$59.75,
